Date,Close,Index
2023-01-03,3824,0
2023-01-04,3852,1
2023-01-05,3808,2
2023-01-06,3895,3
2023-01-09,3892,4
2023-01-10,3919,5
2023-01-11,3969,6
2023-01-12,3983,7
2023-01-13,3999,8
2023-01-17,3990,9
2023-01-18,3928,10
2023-01-19,3898,11
2023-01-20,3972,12
2023-01-23,4019,13
2023-01-24,4016,14
2023-01-25,4016,15
2023-01-26,4060,16
2023-01-27,4070,17
2023-01-30,4017,18
2023-01-31,4076,19
2023-02-01,4119,20
2023-02-02,4179,21
2023-02-03,4136,22
2023-02-06,4111,23
2023-02-07,4164,24
2023-02-08,4117,25
2023-02-09,4081,26
2023-02-10,4090,27
2023-02-13,4137,28
2023-02-14,4136,29
2023-02-15,4147,30
2023-02-16,4090,31
2023-02-17,4079,32
2023-02-21,3997,33
2023-02-22,3991,34
2023-02-23,4012,35
2023-02-24,3970,36
2023-02-27,3982,37
2023-02-28,3970,38
2023-03-01,3951,39
2023-03-02,3981,40
2023-03-03,4045,41
2023-03-06,4048,42
2023-03-07,3986,43
2023-03-08,3992,44
2023-03-09,3918,45
2023-03-10,3861,46
2023-03-13,3855,47
2023-03-14,3919,48
2023-03-15,3891,49
2023-03-16,3960,50
2023-03-17,3916,51
2023-03-20,3951,52
2023-03-21,4002,53
2023-03-22,3936,54
2023-03-23,3948,55
2023-03-24,3970,56
2023-03-27,3977,57
2023-03-28,3971,58
2023-03-29,4027,59
2023-03-30,4050,60
2023-03-31,4109,61
2023-04-03,4124,62
2023-04-04,4100,63
2023-04-05,4090,64
2023-04-06,4105,65
2023-04-10,4109,66
2023-04-11,4108,67
2023-04-12,4091,68
2023-04-13,4146,69
2023-04-14,4137,70
2023-04-17,4151,71
2023-04-18,4154,72
2023-04-19,4154,73
2023-04-20,4129,74
2023-04-21,4133,75
2023-04-24,4137,76
2023-04-25,4071,77
2023-04-26,4055,78
2023-04-27,4135,79
2023-04-28,4169,80
2023-05-01,4167,81
2023-05-02,4119,82
2023-05-03,4090,83
2023-05-04,4061,84
2023-05-05,4136,85
2023-05-08,4138,86
2023-05-09,4119,87
2023-05-10,4137,88
2023-05-11,4130,89
2023-05-12,4124,90
2023-05-15,4136,91
2023-05-16,4109,92
2023-05-17,4158,93
2023-05-18,4198,94
2023-05-19,4191,95
2023-05-22,4192,96
2023-05-23,4145,97
2023-05-24,4115,98
2023-05-25,4151,99
2023-05-26,4205,100
2023-05-30,4205,101
2023-05-31,4179,102
2023-06-01,4221,103
2023-06-02,4282,104
2023-06-05,4273,105
2023-06-06,4283,106
2023-06-07,4267,107
2023-06-08,4293,108
2023-06-09,4298,109
2023-06-12,4338,110
2023-06-13,4369,111
2023-06-14,4372,112
2023-06-15,4425,113
2023-06-16,4409,114
2023-06-20,4388,115
2023-06-21,4365,116
2023-06-22,4381,117
2023-06-23,4348,118
2023-06-26,4328,119
2023-06-27,4378,120
2023-06-28,4376,121
2023-06-29,4396,122
2023-06-30,4450,123
2023-07-03,4455,124
2023-07-05,4446,125
2023-07-06,4411,126
2023-07-07,4398,127
2023-07-10,4409,128
2023-07-11,4439,129
2023-07-12,4472,130
2023-07-13,4510,131
2023-07-14,4505,132
2023-07-17,4522,133
2023-07-18,4554,134
2023-07-19,4565,135
2023-07-20,4534,136
2023-07-21,4536,137
2023-07-24,4554,138
2023-07-25,4567,139
2023-07-26,4566,140
2023-07-27,4537,141
2023-07-28,4582,142
2023-07-31,4588,143
2023-08-01,4576,144
